id,Machine Failure Pred,Probability
136429,0,0.002313900007010528
136430,0,0.0012696907406545006
136431,0,0.0027959835480392535
136432,0,0.0036231864569756782
136433,0,0.0038312343837307427
136434,0,0.0027967735251291136
136435,0,0.003577045260904135
136436,0,0.005311524028195497
136437,0,0.001150345170660579
136438,0,0.0012709306206412573
136439,0,0.0024353822998250535
136440,0,0.0025491335566382245
136441,0,0.0012121163923427055
136442,0,0.0018621563122640592
136443,0,0.002224063854197005
136444,0,0.005301545749024345
136445,0,0.0010897041654547527
136446,1,0.9939293542291766
136447,0,0.002418718344180476
136448,0,0.001627813118317653
136449,0,0.006190898395966511
136450,0,0.003977253078353735
136451,0,0.018365890823328502
136452,0,0.018592593625870818
136453,0,0.0038459114279067153
136454,0,0.0015356893413792385
136455,0,0.0016433911584022452
136456,0,0.006397287306099137
136457,0,0.006337027894342511
136458,0,0.004841019924282958
136459,0,0.0035645285741802493
136460,0,0.0031353550316248905
136461,0,0.001343264573355784
136462,0,0.017883410656365065
136463,0,0.0016919255683404148
136464,0,0.0027570488227981324
136465,0,0.001679884605574038
136466,0,0.002277896573423516
136467,0,0.0012898073864812463
136468,0,0.0028782128734465727
136469,0,0.001535749720736928
136470,0,0.0024822536019378336
136471,0,0.008710766577580471
136472,0,0.00649714471317139
136473,0,0.002677298832030833
136474,0,0.002054054395659338
136475,0,0.003815267218269197
136476,0,0.006362634875000396
136477,0,0.002457632707595758
136478,0,0.002210399359804951
136479,0,0.0014900212880144034
136480,0,0.005527793641919215
136481,0,0.00247060828493991
136482,0,0.026357517600506655
136483,0,0.0035331670565674194
136484,0,0.0012154440988787912
136485,0,0.0015449432053977093
136486,0,0.002153762532376064
136487,0,0.0015232811034181322
136488,0,0.004177146138299661
136489,0,0.001165033794191726
136490,0,0.022223078951987225
136491,0,0.003955700607024942
136492,0,0.0034518163088824495
136493,0,0.0034953891258640395
136494,0,0.001201782717844089
136495,0,0.0025023137387070456
136496,0,0.004488554225805961
136497,0,0.0022739785788684448
136498,0,0.00916770945992033
136499,0,0.0014802030883753466
136500,0,0.0008870723813262724
136501,0,0.0015014121553940526
136502,0,0.005371813977101101
136503,0,0.0030079561833464066
136504,0,0.0013420996933338884
136505,0,0.001222222227749325
136506,0,0.0027336484143978424
136507,0,0.0007657307961826991
136508,0,0.0012400587109285854
136509,0,0.004034001194206997
136510,0,0.0016792110416307758
136511,0,0.00956280413147217
136512,0,0.0010657183004716573
136513,0,0.00589763899996773
136514,0,0.0021046108942495423
136515,0,0.0025069839617619756
136516,0,0.0033158169675404476
136517,0,0.001900080083060804
136518,0,0.0016921189137190631
